空間代號,EEUI,LEUI,AEUI_N,AEUI_C,AEUI_S,AEUI_NonSubregion,EUI_N,EUI_C,EUI_S,EUI_Mean
K1,15.09,28.79,29.69,32.69,41.55,,73.57,76.57,85.43,78.52
K2,11.96,34.16,25.36,27.60,35.24,,71.48,73.72,81.36,75.52
K3,18.35,84.33,106.94,109.79,117.65,,209.62,212.46,220.33,214.14
K4,29.00,52.00,,,,65.00,,,,146.00
E1,963.30,52.60,0.00,0.00,0.00,,1015.90,1015.90,1015.90,1015.90
E2,95.00,131.00,,,,259.00,,,,485.00
F1,,,,,,,,,,27.50
F2,,,,,,,,,,25.00
I1,55.00,109.50,95.60,101.80,114.50,,260.10,266.30,279.00,268.47
I2,73.90,152.20,116.70,124.20,140.10,,342.80,350.30,366.20,353.10
I3,72.11,79.77,126.81,132.50,146.46,,278.69,284.38,298.34,287.13
I4,511.50,128.10,141.95,153.05,163.95,,781.55,792.65,803.55,792.59
D1,452.15,182.15,233.90,250.60,278.00,,868.20,884.90,912.30,888.47
M1,95.00,131.00,,,,0.00,,,,226.00
M2,95.00,131.00,,,,259.00,,,,485.00
M3,95.00,167.00,,,,271.00,,,,533.00
M4,95.00,167.00,,,,271.00,,,,533.00
N1,31.00,47.00,,,,0.00,,,,78.00
N2,31.00,47.00,,,,76.00,,,,154.00
N3,31.00,58.00,,,,78.00,,,,167.00
N4,31.00,58.00,,,,78.00,,,,167.00
C2,11.41,30.33,37.13,46.54,54.17,,78.88,88.29,95.92,87.70
I5,17.43,66.50,113.25,110.61,123.31,,197.19,194.54,207.24,199.66
C1,13.20,45.39,64.49,68.54,76.00,,123.08,127.13,134.59,128.27
B1,13.39,23.81,31.54,38.52,43.15,,68.74,75.73,80.35,74.94
D2,235.76,102.98,272.29,272.88,292.44,,611.03,611.62,631.18,617.94
D3,180.73,135.91,346.58,348.37,380.87,,663.22,665.01,697.51,675.25
I6,25.79,43.21,149.68,156.78,182.21,,218.68,225.78,251.21,231.88
I7,562.45,54.83,319.76,320.25,331.90,,937.04,937.53,949.18,941.25
I8,18.49,45.75,71.14,76.83,84.29,,135.38,141.07,148.52,141.66
I9,197.00,100.78,174.40,247.00,268.65,,472.18,544.77,566.42,527.79
I10,24.53,48.40,45.43,56.49,65.10,,118.36,129.42,138.03,128.61
J1,16.19,23.93,82.48,83.75,89.67,,122.60,123.87,129.79,125.42
J2,8.31,26.79,48.86,53.06,56.01,,83.96,88.16,91.11,87.75
J3,4.03,22.44,59.20,61.63,66.62,,85.66,88.10,93.09,88.95
J4,3.19,15.06,43.30,44.90,49.17,,61.55,63.15,67.41,64.03
H1,17.30,43.80,168.40,179.10,203.80,,229.50,240.20,264.90,244.87
G1,19.00,94.00,,,,207.00,,,,320.00
L1,9.00,22.00,,,,23.00,,,,54.00
L2,8.00,21.00,,,,21.00,,,,50.00
L3,6.00,15.00,,,,16.00,,,,37.00
A1,0.00,12.66,6.93,8.20,9.22,,19.60,20.87,21.88,20.78
A2,10.09,34.68,40.86,51.88,61.52,,85.63,96.66,106.29,96.20
