空間代號,使用空間名稱,建物用途,EUI_北海道,EUI_東北,EUI_北信越,EUI_關東,EUI_中部,EUI_關西,EUI_中國四國,EUI_九州
K1,辦公、學校辦公行政空間,全部平均,127.93,118.53,115.74,176.64,131.12,163.81,134.71,140.32
K2,圖書館,全部平均,63.68,65.33,64.53,99.37,61.27,67.68,61.61,78.37
K3,機關餐廳,全部平均,699.67,811.67,325.81,848.95,710.07,1205.64,577.51,418.04
K4,工廠實驗、研究室,全部平均,54.32,225.83,245.16,209.26,189.16,162.15,140.96,147.16
E1,24 小時冷凍冷藏空間,全部平均,342.84,454.75,371.25,490.49,288.34,402.17,387.32,382.1
E2,電腦、電信機房,全部平均,1336.54,1336.54,1336.54,1802.43,1336.54,870.66,1336.54,1336.54
F1,室內停車場、變電室、地下室倉庫、 機房等,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
F2,無空調之大型專用倉庫,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
I1,一般商店、超市、百貨專櫃,全部平均,426.88,592.4,459.36,509.94,499.32,477.54,455.87,438.34
I1,一般商店、超市、百貨專櫃,其他產品銷售,237.0,274.64,187.17,315.09,238.32,256.95,198.77,188.08
I1,一般商店、超市、百貨專櫃,便利商店,970.78,1656.22,1134.86,1140.57,1278.08,1190.85,1065.36,1017.98
I1,一般商店、超市、百貨專櫃,百貨公司和超市,342.84,454.75,371.25,490.49,288.34,402.17,387.32,382.1
I1,一般商店、超市、百貨專櫃,一般零售店,314.95,314.95,314.95,314.95,314.95,314.95,314.95,314.95
I1,一般商店、超市、百貨專櫃,電器量販店,268.85,261.46,288.58,288.58,376.89,222.77,312.94,288.58
I2,高照明商場,全部平均,656.81,1055.49,753.06,815.53,783.21,796.51,726.34,700.04
I2,高照明商場,便利商店,970.78,1656.22,1134.86,1140.57,1278.08,1190.85,1065.36,1017.98
I2,高照明商場,百貨公司和超市,342.84,454.75,371.25,490.49,288.34,402.17,387.32,382.1
I3,一般餐廳、飯店宴會場,全部平均,699.67,811.67,325.81,848.95,710.07,1205.64,577.51,418.04
I4,有大量冷凍冷藏設備之生鮮商場、量販店,全部平均,342.84,454.75,371.25,490.49,288.34,402.17,387.32,382.1
D1,24 小時連鎖超商與速食餐廳,全部平均,970.78,1656.22,1134.86,1140.57,1278.08,1190.85,1065.36,1017.98
M1,無空調一般工廠作業區,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
M2,空調型一般工廠作業區,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
M3,空調型精密製造區,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
M4,空調型潔淨生產區,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
N1,無空調一般工廠作業區,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
N2,空調型一般工廠作業區,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
N3,空調型精密製造區,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
N4,空調型潔淨生產區,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
C2,全年空調住宿空間,全部平均,,,,,,,,
I5,中央廚房、中央洗衣房,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
C1,24 小時輕設備醫療空間,全部平均,120.49,132.77,144.09,169.62,147.7,177.98,155.38,161.58
B1,養老院、孤兒院、療養院等間歇空調空間,全部平均,95.29,118.6,59.52,109.07,85.64,108.97,95.92,89.34
D2,24 小時重設備醫療空間（加護病房、急診區）,全部平均,120.49,132.77,144.09,169.62,147.7,177.98,155.38,161.58
D3,醫院手術房,全部平均,120.49,132.77,144.09,169.62,147.7,177.98,155.38,161.58
I6,12 小時輕設備醫療空間（醫院之門診部、診所、大廳等）,全部平均,120.49,132.77,144.09,169.62,147.7,177.98,155.38,161.58
I7,12 小時重設備醫療空間（醫院之檢驗部、藥劑部、放射科、血液透析中心、復健部等）,全部平均,120.49,132.77,144.09,169.62,147.7,177.98,155.38,161.58
I8,綜合性健身運動場空間,全部平均,84.35,176.46,118.84,132.32,129.41,187.71,81.33,84.63
I9,娛樂空間,全部平均,106.56,116.65,112.3,110.97,106.02,145.05,89.34,144.05
I9,娛樂空間,劇院和禮堂,57.98,78.16,69.47,104.1,72.25,84.53,81.92,72.38
I9,娛樂空間,綜合設施,155.14,155.14,155.14,117.84,139.8,205.57,96.76,215.72
I10,有大量加熱設備之專用休閒設施,全部平均,106.56,116.65,112.3,110.97,106.02,145.05,89.34,144.05
I10,有大量加熱設備之專用休閒設施,劇院和禮堂,57.98,78.16,69.47,104.1,72.25,84.53,81.92,72.38
I10,有大量加熱設備之專用休閒設施,綜合設施,155.14,155.14,155.14,117.84,139.8,205.57,96.76,215.72
J1,展覽空間,全部平均,62.95,91.49,84.36,111.53,80.07,98.62,114.3,93.64
J2,專用演講廳、禮堂、會議中心、 會議廳、演講活動,全部平均,57.98,78.16,69.47,104.1,72.25,84.53,81.92,72.38
J3,演藝廳、表演廳、演藝活動兼用之體育館,全部平均,57.98,78.16,69.47,104.1,72.25,84.53,81.92,72.38
J4,體育比賽專用室內體育館,全部平均,84.35,176.46,118.84,132.32,129.41,187.71,81.33,84.63
