擔保品細項,細項名稱,建物用途,EUI北海道,EUI東北,EUI北信越,EUI關東,EUI中部,EUI關西,EUI中國四國,EUI九州
1,住宅,全部平均,,,,,,,,
2,店面,全部平均,440.32,571.68,410.45,520.1,500.56,549.06,433.65,414.33
2,店面,其他產品銷售,237.0,274.64,187.17,315.09,238.32,256.95,198.77,188.08
2,店面,便利商店,970.78,1656.22,1134.86,1140.57,1278.08,1190.85,1065.36,1017.98
2,店面,百貨公司和超市,342.84,454.75,371.25,490.49,288.34,402.17,387.32,382.1
2,店面,一般零售店,314.95,314.95,314.95,314.95,314.95,314.95,314.95,314.95
2,店面,電器量販店,268.85,261.46,288.58,288.58,376.89,222.77,312.94,288.58
2,店面,郊區大型商店,248.18,228.06,250.5,242.06,297.26,250.06,178.72,290.58
2,店面,餐廳,699.67,811.67,325.81,848.95,710.07,1205.64,577.51,418.04
3,辦公用途,全部平均,105.56,100.82,95.32,138.29,106.36,126.7,108.88,118.04
3,辦公用途,辦公室,127.93,118.53,115.74,176.64,131.12,163.81,134.71,140.32
3,辦公用途,政府機關,83.19,83.1,74.89,99.95,81.6,89.59,83.05,95.75
4,住商綜合,全部平均,,,,,,,,
6,夾層屋,全部平均,,,,,,,,
7,套房,全部平均,,,,,,,,
8,透天厝,全部平均,,,,,,,,
9,地上權,全部平均,,,,,,,,
10,工廠/機房,全部平均,700.94,708.64,750.28,957.81,719.94,509.78,748.96,691.7
10,工廠/機房,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
10,工廠/機房,計算機資訊中心,1336.54,1336.54,1336.54,1802.43,1336.54,870.66,1336.54,1336.54
11,倉庫,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
11,倉庫,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
12,地下室,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
12,地下室,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
13,停車場,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
13,停車場,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
14,非空非房,全部平均,,,,,,,,
15,油庫化學槽,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
15,油庫化學槽,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
16,修護場棚,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
16,修護場棚,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
17,體育/遊樂區,全部平均,84.35,176.46,118.84,132.32,129.41,187.71,81.33,84.63
17,體育/遊樂區,體育設施,84.35,176.46,118.84,132.32,129.41,187.71,81.33,84.63
18,文教建築,全部平均,60.46,84.82,76.91,107.82,76.16,91.58,98.11,83.01
18,文教建築,劇院和禮堂,57.98,78.16,69.47,104.1,72.25,84.53,81.92,72.38
18,文教建築,展覽設施,62.95,91.49,84.36,111.53,80.07,98.62,114.3,93.64
19,醫院建築,全部平均,120.49,132.77,144.09,169.62,147.7,177.98,155.38,161.58
19,醫院建築,醫院,120.49,132.77,144.09,169.62,147.7,177.98,155.38,161.58
20,旅館,全部平均,138.63,152.1,175.38,184.82,165.11,182.74,171.72,173.62
20,旅館,酒店和旅館,138.63,152.1,175.38,184.82,165.11,182.74,171.72,173.62
21,百貨公司,全部平均,342.84,454.75,371.25,490.49,288.34,402.17,387.32,382.1
21,百貨公司,百貨公司和超市,342.84,454.75,371.25,490.49,288.34,402.17,387.32,382.1
22,,全部平均,,,,,,,,
23,眷村不動產,全部平均,,,,,,,,
24,宿舍,全部平均,,,,,,,,
25,農舍,全部平均,,,,,,,,
26,畜欄,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
26,畜欄,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
27,場站設施,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
27,場站設施,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
28,公用事業設施,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
28,公用事業設施,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
29,電廠,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
29,電廠,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
30,純建物(住宅),全部平均,,,,,,,,
31,純建物(商業),全部平均,244.42,299.78,250.06,312.66,273.73,281.4,253.23,249.16
31,純建物(商業),其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
31,純建物(商業),其他產品銷售,237.0,274.64,187.17,315.09,238.32,256.95,198.77,188.08
31,純建物(商業),便利商店,970.78,1656.22,1134.86,1140.57,1278.08,1190.85,1065.36,1017.98
31,純建物(商業),體育設施,84.35,176.46,118.84,132.32,129.41,187.71,81.33,84.63
31,純建物(商業),百貨公司和超市,342.84,454.75,371.25,490.49,288.34,402.17,387.32,382.1
31,純建物(商業),酒店和旅館,138.63,152.1,175.38,184.82,165.11,182.74,171.72,173.62
31,純建物(商業),一般零售店,314.95,314.95,314.95,314.95,314.95,314.95,314.95,314.95
31,純建物(商業),辦公室,127.93,118.53,115.74,176.64,131.12,163.81,134.71,140.32
31,純建物(商業),劇院和禮堂,57.98,78.16,69.47,104.1,72.25,84.53,81.92,72.38
31,純建物(商業),大學和專業學校,63.68,65.33,64.53,99.37,61.27,67.68,61.61,78.37
31,純建物(商業),政府機關,83.19,83.1,74.89,99.95,81.6,89.59,83.05,95.75
31,純建物(商業),電器量販店,268.85,261.46,288.58,288.58,376.89,222.77,312.94,288.58
31,純建物(商業),小學/中學,34.84,24.02,20.37,28.36,19.06,23.1,26.1,18.35
31,純建物(商業),展覽設施,62.95,91.49,84.36,111.53,80.07,98.62,114.3,93.64
31,純建物(商業),幼兒園/托兒所,34.63,28.85,29.69,61.26,22.71,26.91,20.99,47.89
31,純建物(商業),醫院,120.49,132.77,144.09,169.62,147.7,177.98,155.38,161.58
31,純建物(商業),研究機構,54.32,225.83,245.16,209.26,189.16,162.15,140.96,147.16
31,純建物(商業),福利設施,95.29,118.6,59.52,109.07,85.64,108.97,95.92,89.34
31,純建物(商業),綜合設施,155.14,155.14,155.14,117.84,139.8,205.57,96.76,215.72
31,純建物(商業),郊區大型商店,248.18,228.06,250.5,242.06,297.26,250.06,178.72,290.58
31,純建物(商業),計算機資訊中心,1336.54,1336.54,1336.54,1802.43,1336.54,870.66,1336.54,1336.54
31,純建物(商業),餐廳,699.67,811.67,325.81,848.95,710.07,1205.64,577.51,418.04
31,純建物(商業),高中,24.14,25.43,20.48,30.81,27.16,29.82,26.11,28.17
32,其他,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
32,其他,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
33,停車位,全部平均,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
33,停車位,其他,65.35,80.73,164.02,113.19,103.35,148.91,161.37,46.87
