City,Climate Zone (ASHRAE),Climate Zone (This paper),latitude,longitude
"Honolulu, HI",1A Very Hot - Humid (Miami-FL),Hot-humid,21.3209,-157.8389
"Miami, FL",1A Very Hot - Humid (Miami-FL),Hot-humid,25.9388,-80.2144
"Austin, TX",2A Hot - Humid (Houston-TX),Hot-humid,30.2058,-97.8002
"Cape Coral, FL",2A Hot - Humid (Houston-TX),Hot-humid,26.6356,-82.0164
"College Station, TX",2A Hot - Humid (Houston-TX),Hot-humid,30.6131,-96.3217
"Gainesville, FL",2A Hot - Humid (Houston-TX),Hot-humid,29.6851,-82.4324
"Houston, TX",2A Hot - Humid (Houston-TX),Hot-humid,29.8688,-95.538
"Tallahassee, FL",2A Hot - Humid (Houston-TX),Hot-humid,30.5802,-84.1266
"Phoenix, AZ",2B Hot - Dry (Phoenix-AZ),Hot-dry,33.5586,-112.0955
"Atlanta, GA",3A Warm - Humid (Memphis-TN),Hot-humid,33.8477,-84.2814
"Columbia, SC",3A Warm - Humid (Memphis-TN),Hot-humid,34.0988,-81.0612
"Dallas, TX",3A Warm - Humid (Memphis-TN),Hot-humid,32.7825,-96.8207
"Jackson, MS",3A Warm - Humid (Memphis-TN),Hot-humid,32.3134,-90.172
"Little Rock, AR",3A Warm - Humid (Memphis-TN),Hot-humid,34.7465,-92.2896
"Montgomery, AL",3A Warm - Humid (Memphis-TN),Hot-humid,32.3934,-86.3222
"Oklahoma City, OK",3A Warm - Humid (Memphis-TN),Hot-humid,35.5798,-97.5731
"Abilene, TX",3B Warm - Dry (El Paso-TX),Hot-dry,32.3418,-99.9414
"Carlsbad, CA",3B Warm - Dry (El Paso-TX),Hot-dry,33.0958,-117.2721
"Chula Vista, CA",3B Warm - Dry (El Paso-TX),Hot-dry,32.6361,-117.0532
"El Cajon, CA",3B Warm - Dry (El Paso-TX),Hot-dry,32.7952,-116.9671
"Encinitas, CA",3B Warm - Dry (El Paso-TX),Hot-dry,33.0501,-117.2528
"Escondido, CA",3B Warm - Dry (El Paso-TX),Hot-dry,33.1192,-117.0864
"Fallbrook, CA",3B Warm - Dry (El Paso-TX),Hot-dry,33.3989,-117.2957
"La Jolla, CA",3B Warm - Dry (El Paso-TX),Hot-dry,32.8667,-117.2481
"La Mesa, CA",3B Warm - Dry (El Paso-TX),Hot-dry,32.7596,-116.994
"Los Angeles, CA",3B Warm - Dry (El Paso-TX),Hot-dry,34.0396,-118.2661
"Oceanside, CA",3B Warm - Dry (El Paso-TX),Hot-dry,33.2004,-117.2907
"Poway, CA",3B Warm - Dry (El Paso-TX),Hot-dry,32.9775,-117.0232
"Sacramento, CA",3B Warm - Dry (El Paso-TX),Hot-dry,38.5517,-121.4501
"San Diego, CA",3B Warm - Dry (El Paso-TX),Hot-dry,32.9014,-117.2079
"San Marcos, CA",3B Warm - Dry (El Paso-TX),Hot-dry,33.1565,-117.1707
"Vista, CA",3B Warm - Dry (El Paso-TX),Hot-dry,33.182,-117.2468
"San Francisco, CA",3C Warm - Marine (San Francisco-CA),Hot-marine,37.7353,-122.3732
"San Jose, CA",3C Warm - Marine (San Francisco-CA),Hot-marine,37.3239,-121.9144
"Annapolis, MD",4A Mixed - Humid (Baltimore-MD),Mixed-humid,38.9879,-76.5454
"Bloomington, IN",4A Mixed - Humid (Baltimore-MD),Mixed-humid,39.079,-86.6175
"Charleston, WV",4A Mixed - Humid (Baltimore-MD),Mixed-humid,38.2944,-81.6096
"Dover, DE",4A Mixed - Humid (Baltimore-MD),Mixed-humid,39.1817,-75.5971
