擔保品細項,細項名稱,建物分類,建物用途,EUI,EUI_Cold-dry,EUI_Cold-humid,EUI_Hot-dry,EUI_Hot-humid,EUI_Hot-marine,EUI_Mixed-dry,EUI_Mixed-humid,EUI_Mixed-marine
1,住宅,全部平均,全部平均,,,,,,,,,
2,店面,全部平均,全部平均,426.06,356.17,481.9,245.62,398.01,835.15,422.54,428.18,240.95
2,店面,食品銷售服務,便利商店,729.97,610.22,825.63,420.82,681.91,1430.85,723.93,733.6,412.82
2,店面,食品銷售服務,酒吧/夜總會,412.3,344.67,466.34,237.69,385.16,808.18,408.89,414.35,233.17
2,店面,食品銷售服務,快餐店,1270.35,1061.95,1436.83,732.34,1186.72,2490.08,1259.84,1276.66,718.41
2,店面,食品銷售服務,餐廳,1027.13,858.63,1161.74,592.13,959.51,2013.33,1018.63,1032.24,580.87
2,店面,食品銷售服務,超市/雜貨店,618.3,516.87,699.33,356.44,577.59,1211.96,613.18,621.37,349.66
2,店面,食品銷售服務,批發商店,162.15,135.55,183.39,93.47,151.47,317.83,160.8,162.95,91.7
2,店面,零售,汽車經銷商,173.5,145.04,196.24,100.02,162.08,340.09,172.07,174.36,98.12
2,店面,零售,封閉式購物中心,207.26,173.26,234.42,119.48,193.61,406.25,205.54,208.29,117.21
2,店面,零售,連鎖商場,326.5,272.94,369.29,188.22,305.0,639.99,323.8,328.12,184.64
2,店面,零售,零售店,326.5,272.94,369.29,188.22,305.0,639.99,323.8,328.12,184.64
2,店面,個人服務,乾洗店、鞋修理店、鎖匠、沙龍等,151.1,126.32,170.91,87.11,141.16,296.19,149.85,151.86,85.45
2,店面,公有設施,飲用水處理,7.26,6.07,8.21,4.18,6.78,14.22,7.2,7.29,4.1
2,店面,公有設施,能源/發電站,126.5,105.75,143.08,72.92,118.17,247.96,125.45,127.13,71.54
3,辦公用途,全部平均,全部平均,195.46,163.39,221.07,112.68,182.59,383.12,193.84,196.43,110.54
3,辦公用途,銀行/金融服務,銀行分行,278.55,232.85,315.05,160.58,260.21,546.0,276.24,279.93,157.53
3,辦公用途,銀行/金融服務,金融辦公室,166.88,139.5,188.75,96.2,155.89,327.1,165.5,167.71,94.37
3,辦公用途,辦公室,醫療辦公室,161.52,135.02,182.68,93.11,150.88,316.59,160.18,162.32,91.34
3,辦公用途,辦公室,辦公室,166.88,139.5,188.75,96.2,155.89,327.1,165.5,167.71,94.37
3,辦公用途,辦公室,獸醫辦公室,203.47,170.09,230.14,117.3,190.08,398.83,201.79,204.48,115.07
4,住商綜合,全部平均,全部平均,,,,,,,,,
6,夾層屋,全部平均,全部平均,,,,,,,,,
7,套房,全部平均,全部平均,,,,,,,,,
8,透天厝,全部平均,全部平均,,,,,,,,,
9,地上權,全部平均,全部平均,,,,,,,,,
10,工廠/機房,全部平均,全部平均,,,,,,,,,
11,倉庫,全部平均,全部平均,118.06,98.69,133.53,68.06,110.28,231.42,117.08,118.64,66.77
